#CAMI Submission for Taxonomic Profiling

@@TaxID	SpeciesName	PERCENTAGE
67825	Citrobacter rodentium	0.0147934
1702170	Citrobacter sp. FDAARGOS_156	0.0140753
169679	Clostridium saccharobutylicum	0.0140753
336810	Candidatus Sulcia muelleri	0.0139316
1089444	Dickeya solani	0.0139316
53345	Enterococcus durans	0.0135008
644	Aeromonas hydrophila	0.0129263
1334	Streptococcus dysgalactiae	0.0129263
408	Methylorubrum extorquens	0.012639
158836	Enterobacter hormaechei	0.0124954
1408	Bacillus pumilus	0.0124954
1915310	Enterobacter cloacae complex sp. ECNIH7	0.0123518
959	Bdellovibrio bacteriovorus	0.0122081
55508	Janthinobacterium agaricidamnosum	0.0122081
193	Azospirillum lipoferum	0.0122081
553814	Acidovorax carolinensis	0.0120645
2102	Mycoplasma mycoides	0.0120645
2099	Mycoplasma hyopneumoniae	0.0119209
553	Pantoea ananatis	0.0117773
34073	Variovorax paradoxus	0.0117773
1397	Bacillus circulans	0.0117773
648	Aeromonas caviae	0.01149
233055	Desulfitobacterium dichloroeliminans	0.01149
28197	Arcobacter butzleri	0.0113464
450	Legionella longbeachae	0.0112028
380021	Pseudomonas protegens	0.0110591
164514	Blattabacterium punctulatus	0.0110591
1493872	Chryseobacterium shandongense	0.0110591
1426	Parageobacillus thermoglucosidasius	0.0110591
632	Yersinia pestis	0.0109155
42197	Actinosynnema pretiosum	0.0107719
33959	Lactobacillus johnsonii	0.0106283
53346	Enterococcus mundtii	0.0104846
135487	Nocardia cyriacigeorgica	0.0104846
35	Myxococcus macrosporus	0.010341
137545	Serratia quinivorans	0.0101974
561879	Bacillus safensis	0.0100538
52584	Brachyspira pilosicoli	0.00991013
46867	Clostridium chauvoei	0.00991013
36873	Paraburkholderia xenovorans	0.00991013
104087	Pseudomonas frederiksbergensis	0.00991013
64104	Bacillus pseudomycoides	0.00976651
549	Pantoea agglomerans	0.00976651
536441	Chryseobacterium taklimakanense	0.00962288
1334193	[Enterobacter] lignolyticus	0.00962288
1328	Streptococcus anginosus	0.00962288
727	Haemophilus influenzae	0.00947926
2267618	Klebsiella sp. P1CD1	0.00947926
1972431	Phytobacter ursingii	0.00947926
1307	Streptococcus suis	0.00947926
29449	Rhizobium etli	0.00933563
61647	Pluralibacter gergoviae	0.00919201
1283	Staphylococcus haemolyticus	0.00919201
37326	Nocardia brasiliensis	0.00904838
731	Histophilus somni	0.00876113
198620	Pseudomonas koreensis	0.00876113
1465	Brevibacillus laterosporus	0.00861751
1920110	Citrobacter sp. CFNIH10	0.00833026
2488567	Klebsiella sp. FDAARGOS_511	0.00818663
184914	Corallococcus coralloides	0.00818663
1390	Bacillus amyloliquefaciens	0.00818663
13690	Sphingobium yanoikuyae	0.00804301
542	Zymomonas mobilis	0.00789938
730	[Haemophilus] ducreyi	0.00761213
263	Francisella tularensis	0.00761213
1587	Lactobacillus helveticus	0.00761213
208224	Enterobacter kobei	0.00746851
1126	Microcystis aeruginosa	0.00732488
79880	Bacillus clausii	0.00703763
2100	Mycoplasma hyorhinis	0.00703763
101571	Burkholderia ubonensis	0.00703763
75985	Mannheimia haemolytica	0.00689401
47466	Borrelia miyamotoi	0.00689401
456327	Xanthomonas euvesicatoria	0.00675038
257758	Streptococcus pseudopneumoniae	0.00675038
1599	Lactobacillus sakei	0.00675038
1241981	Chryseobacterium lactis	0.00675038
39645	Mesorhizobium ciceri	0.00660676
172045	Elizabethkingia miricola	0.00660676
1478	Bacillus simplex	0.00660676
1336	Streptococcus equi	0.00646313
75105	Paraburkholderia caribensis	0.00631951
47880	Pseudomonas fulva	0.00631951
37329	Nocardia farcinica	0.00631951
28188	Capnocytophaga canimorsus	0.00631951
1908	Streptomyces globisporus	0.00631951
134821	Ureaplasma parvum	0.00631951
1241978	Chryseobacterium bernardetii	0.00631951
1124835	Chryseobacterium carnipullorum	0.00631951
631	Yersinia intermedia	0.00617588
580165	Bacillus cytotoxicus	0.00617588
51669	Tetragenococcus halophilus	0.00617588
339	Xanthomonas campestris	0.00617588
55518	Magnetospirillum gryphiswaldense	0.00603226
24	Shewanella putrefaciens	0.00603226
221822	Phaeobacter inhibens	0.00603226
1648923	Bacillus paralicheniformis	0.00603226
714	Aggregatibacter actinomycetemcomitans	0.00588863
495	Neisseria elongata	0.00588863
317	Pseudomonas syringae	0.00588863
1920109	Enterobacteriaceae bacterium ENNIH2	0.00588863
1764	Mycobacterium avium	0.00588863
1624	Lactobacillus salivarius	0.00588863
747	Pasteurella multocida	0.00574501
239935	Akkermansia muciniphila	0.00574501
147645	Paracoccus yeei	0.00574501
312306	Pseudomonas entomophila	0.00560138
29486	Yersinia ruckeri	0.00560138
1922222	Sphingorhabdus sp. Alg231-15	0.00560138
1584	Lactobacillus delbrueckii	0.00560138
1583098	Fusobacterium hwasookii	0.00560138
1534	Clostridium kluyveri	0.00545775
672	Vibrio vulnificus	0.00531413
630	Yersinia enterocolitica	0.00531413
2052938	Enterobacteriaceae bacterium S05	0.00531413
197	Campylobacter jejuni	0.00531413
680	Vibrio campbellii	0.0051705
1664069	Bacillus glycinifermentans	0.0051705
1402	Bacillus licheniformis	0.0051705
1241982	Chryseobacterium nakagawai	0.0051705
732	Aggregatibacter aphrophilus	0.00502688
511	Alcaligenes faecalis	0.00502688
29484	Yersinia frederiksenii	0.00502688
28131	Prevotella intermedia	0.00502688
28087	Legionella sainthelensi	0.00502688
28035	Staphylococcus lugdunensis	0.00502688
2500543	Salmonella sp. SSDFZ69	0.00502688
139	Borreliella burgdorferi	0.00502688
87883	Burkholderia multivorans	0.00488325
654	Aeromonas veronii	0.00488325
518	Bordetella bronchiseptica	0.00488325
29303	Streptomyces cattleya	0.00488325
204042	Dickeya zeae	0.00488325
876	Desulfovibrio desulfuricans	0.00473963
837	Porphyromonas gingivalis	0.00473963
482957	Burkholderia lata	0.00473963
196	Campylobacter fetus	0.00473963
916	Nitrosomonas eutropha	0.004596
57975	Burkholderia thailandensis	0.004596
40214	Acinetobacter johnsonii	0.004596
34038	Rahnella aquatilis	0.004596
305	Ralstonia solanacearum	0.004596
1245	Leuconostoc mesenteroides	0.004596
53408	Pseudomonas citronellolis	0.00445238
471	Acinetobacter calcoaceticus	0.00445238
2066051	Enterobacteriaceae bacterium ENNIH1	0.00445238
1636609	Aeromonas sp. ASNIH4	0.00445238
1393	Brevibacillus brevis	0.00445238
1338	Streptococcus intermedius	0.00445238
777	Coxiella burnetii	0.00430875
738	Glaesserella parasuis	0.00430875
60552	Burkholderia vietnamiensis	0.00430875
47715	Lactobacillus rhamnosus	0.00430875
2487150	Metakosakonia sp. MRY16-398	0.00430875
1796613	Bacteroides caecimuris	0.00430875
979	Cellulophaga lytica	0.00416513
315405	Streptococcus gallolyticus	0.00416513
296	Pseudomonas fragi	0.00416513
28110	Francisella philomiragia	0.00416513
159	Brachyspira hyodysenteriae	0.00416513
1579	Lactobacillus acidophilus	0.00416513
645	Aeromonas salmonicida	0.0040215
61646	Lelliottia amnigena	0.0040215
380	Sinorhizobium fredii	0.0040215
283734	Staphylococcus pseudintermedius	0.0040215
2756	Brochothrix thermosphacta	0.0040215
1901	Streptomyces clavuligerus	0.0040215
134676	Actinoplanes sp. SE50/110	0.0040215
1311	Streptococcus agalactiae	0.0040215
1158459	Kosakonia sacchari	0.0040215
784	Orientia tsutsugamushi	0.00387788
78327	Pseudomonas mosselii	0.00387788
67780	Edwardsiella ictaluri	0.00387788
663	Vibrio alginolyticus	0.00387788
485	Neisseria gonorrhoeae	0.00387788
2751	Carnobacterium maltaromaticum	0.00387788
2350	Haliscomenobacter hydrossis	0.00387788
2077137	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	0.00387788
1254	Pediococcus acidilactici	0.00387788
569	Hafnia alvei	0.00373425
1915	Streptomyces lincolnensis	0.00373425
1515	Hungateiclostridium thermocellum	0.00373425
137591	Weissella cibaria	0.00373425
986	Flavobacterium johnsoniae	0.00359063
375175	Lactobacillus backii	0.00359063
342113	Burkholderia oklahomensis	0.00359063
1930557	Shewanella sp. FDAARGOS_354	0.00359063
190893	Vibrio coralliilyticus	0.00359063
1905730	Pectobacterium parmentieri	0.00359063
1638	Listeria ivanovii	0.00359063
1597	Lactobacillus paracasei	0.00359063
1580	Lactobacillus brevis	0.00359063
106654	Acinetobacter nosocomialis	0.00359063
670	Vibrio parahaemolyticus	0.003447
633	Yersinia pseudotuberculosis	0.003447
61435	Dehalococcoides mccartyi	0.003447
47735	Bibersteinia trehalosi	0.003447
208223	Kosakonia cowanii	0.003447
160791	Sphingomonas wittichii	0.003447
1464	Paenibacillus larvae	0.003447
817	Bacteroides fragilis	0.00330338
715	Actinobacillus pleuropneumoniae	0.00330338
691	Vibrio natriegens	0.00330338
628	Xenorhabdus nematophila	0.00330338
480	Moraxella catarrhalis	0.00330338
33940	Geobacillus thermodenitrificans	0.00330338
93220	Pandoraea pnomenusa	0.00315975
488447	Burkholderia contaminans	0.00315975
438	Acetobacter pasteurianus	0.00315975
34062	Moraxella osloensis	0.00315975
2104	Mycoplasma pneumoniae	0.00315975
2051905	Enterobacter sp. CRENT-193	0.00315975
172	Leptospira biflexa	0.00315975
1305	Streptococcus sanguinis	0.00315975
121719	Pannonibacter phragmitetus	0.00315975
881	Desulfovibrio vulgaris	0.00301613
80869	Acidovorax citrulli	0.00301613
76758	Pseudomonas orientalis	0.00301613
55601	Vibrio anguillarum	0.00301613
29519	Borreliella garinii	0.00301613
28038	Lactobacillus curvatus	0.00301613
216816	Bifidobacterium longum	0.00301613
2113	Mycoplasma californicum	0.00301613
2096	Mycoplasma gallisepticum	0.00301613
206	Campylobacter sputorum	0.00301613
2025876	Parabacteroides sp. CT06	0.00301613
1965231	Campylobacter pinnipediorum	0.00301613
1580596	Phaeobacter piscinae	0.00301613
1406	Paenibacillus polymyxa	0.00301613
1063	Rhodobacter sphaeroides	0.00301613
463025	Bordetella bronchialis	0.0028725
38293	Photobacterium damselae	0.0028725
37734	Enterococcus casseliflavus	0.0028725
33970	Melissococcus plutonius	0.0028725
33941	Geobacillus thermoleovorans	0.0028725
233316	Alteromonas stellipolaris	0.0028725
1920116	Leclercia sp. LSNIH3	0.0028725
1315974	Sphingobium sp. TKS	0.0028725
1280	Staphylococcus aureus	0.0028725
576610	Polynucleobacter necessarius	0.00272888
47883	Pseudomonas synxantha	0.00272888
446	Legionella pneumophila	0.00272888
37919	Rhodococcus opacus	0.00272888
279058	Collimonas arenae	0.00272888
1613	Lactobacillus fermentum	0.00272888
1488	Clostridium acetobutylicum	0.00272888
1314	Streptococcus pyogenes	0.00272888
1288	Staphylococcus xylosus	0.00272888
729	Haemophilus parainfluenzae	0.00258525
68570	Streptomyces albulus	0.00258525
65058	Corynebacterium ulcerans	0.00258525
636	Edwardsiella tarda	0.00258525
386891	Moraxella bovoculi	0.00258525
28903	Mycoplasma bovis	0.00258525
2371	Xylella fastidiosa	0.00258525
2095	Mycoplasma capricolum	0.00258525
2014	Nocardiopsis dassonvillei	0.00258525
1648	Erysipelothrix rhusiopathiae	0.00258525
1510	Thermoclostridium stercorarium	0.00258525
1346	Streptococcus iniae	0.00258525
1286	Staphylococcus simulans	0.00258525
1238	Piscirickettsia salmonis	0.00258525
119219	Cupriavidus metallidurans	0.00258525
782	Rickettsia prowazekii	0.00244163
481146	Acetobacter ascendens	0.00244163
213	Helicobacter cinaedi	0.00244163
1888	Streptomyces albus	0.00244163
1686310	Bartonella apis	0.00244163
669	Vibrio harveyi	0.002298
51663	Pediococcus damnosus	0.002298
38313	Shewanella algae	0.002298
36855	Brucella canis	0.002298
28447	Clavibacter michiganensis	0.002298
235	Brucella abortus	0.002298
2151	Mesoplasma florum	0.002298
1922226	Anderseniella sp. Alg231-50	0.002298
158899	Collimonas fungivorans	0.002298
1582	Lactobacillus casei	0.002298
1484157	Pantoea sp. PSNIH2	0.002298
1255	Pediococcus pentosaceus	0.002298
1184	Leptolyngbya boryana	0.002298
1148	Synechocystis sp. PCC 6803	0.002298
1108595	Chromobacterium vaccinii	0.002298
76853	Solibacillus silvestris	0.00215438
62322	Shewanella baltica	0.00215438
585	Proteus vulgaris	0.00215438
354356	Niastella koreensis	0.00215438
314275	Alteromonas mediterranea	0.00215438
29471	Pectobacterium atrosepticum	0.00215438
29430	Acinetobacter haemolyticus	0.00215438
29385	Staphylococcus saprophyticus	0.00215438
251701	Pseudomonas syringae group genomosp. 3	0.00215438
2153354	Klebsiella sp. WCHKl090001	0.00215438
1969	Streptomyces chartreusis	0.00215438
1748	Acidipropionibacterium acidipropionici	0.00215438
1452	Bacillus atrophaeus	0.00215438
1263550	Edwardsiella piscicida	0.00215438
1085624	Persicobacter sp. JZB09	0.00215438
945	Ehrlichia chaffeensis	0.00201075
83560	Chlamydia muridarum	0.00201075
666	Vibrio cholerae	0.00201075
66269	Pantoea stewartii	0.00201075
61624	Paenibacillus mucilaginosus	0.00201075
587753	Pseudomonas chlororaphis	0.00201075
487	Neisseria meningitidis	0.00201075
486	Neisseria lactamica	0.00201075
47878	Pseudomonas azotoformans	0.00201075
37332	Nocardia seriolae	0.00201075
343	Xanthomonas translucens	0.00201075
33910	Amycolatopsis mediterranei	0.00201075
33050	Sphingopyxis macrogoltabida	0.00201075
33033	Parvimonas micra	0.00201075
28108	Alteromonas macleodii	0.00201075
265959	Komagataeibacter saccharivorans	0.00201075
2336	Thermotoga maritima	0.00201075
2066049	Citrobacter freundii complex sp. CFNIH2	0.00201075
1717	Corynebacterium diphtheriae	0.00201075
152480	Burkholderia ambifaria	0.00201075
85404	Mannheimia varigena	0.00186713
84531	Lysobacter antibioticus	0.00186713
813	Chlamydia trachomatis	0.00186713
79967	Erwinia pyrifoliae	0.00186713
70775	Pseudomonas plecoglossicida	0.00186713
60890	Phaeobacter gallaeciensis	0.00186713
47850	Micromonospora aurantiaca	0.00186713
382	Sinorhizobium meliloti	0.00186713
288004	Beggiatoa leptomitoformis	0.00186713
28448	Komagataeibacter xylinus	0.00186713
2013114	Citrobacter sp. 86	0.00186713
1934254	Klebsiella sp. M5al	0.00186713
1920128	Enterobacteriaceae bacterium ENNIH3	0.00186713
1335	Streptococcus equinus	0.00186713
95485	Burkholderia stabilis	0.0017235
853	Faecalibacterium prausnitzii	0.0017235
83554	Chlamydia psittaci	0.0017235
818	Bacteroides thetaiotaomicron	0.0017235
783	Rickettsia rickettsii	0.0017235
656366	Arthrobacter alpinus	0.0017235
577	Raoultella terrigena	0.0017235
49338	Desulfitobacterium hafniense	0.0017235
48	Archangium gephyra	0.0017235
442	Gluconobacter oxydans	0.0017235
35806	Rhodovulum sulfidophilum	0.0017235
1909395	Nonomuraea sp. ATCC 55076	0.0017235
83558	Chlamydia pneumoniae	0.00157988
726	Haemophilus haemolyticus	0.00157988
657445	Francisella noatunensis	0.00157988
470	Acinetobacter baumannii	0.00157988
40576	Xenorhabdus bovienii	0.00157988
40215	Acinetobacter junii	0.00157988
396	Rhizobium phaseoli	0.00157988
364410	Granulibacter bethesdensis	0.00157988
28025	Bifidobacterium animalis	0.00157988
2546350	Citrobacter sp. LY-1	0.00157988
2019568	Citrobacter sp. 92	0.00157988
2005469	Calothrix sp. NIES-4071	0.00157988
199	Campylobacter concisus	0.00157988
1986952	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	0.00157988
1879050	Acinetobacter wuhouensis	0.00157988
1525	Moorella thermoacetica	0.00157988
1392	Bacillus anthracis	0.00157988
1363	Lactococcus garvieae	0.00157988
123899	Bordetella trematum	0.00157988
76594	Cellulophaga baltica	0.00143625
45634	Streptococcus cristatus	0.00143625
43662	Pseudoalteromonas piscicida	0.00143625
41899	Burkholderia plantarii	0.00143625
37929	Glutamicibacter nicotianae	0.00143625
337	Burkholderia glumae	0.00143625
329	Ralstonia pickettii	0.00143625
29438	Pseudomonas savastanoi	0.00143625
29388	Staphylococcus capitis	0.00143625
28251	Ornithobacterium rhinotracheale	0.00143625
2743	Marinobacter hydrocarbonoclasticus	0.00143625
2305508	Mucilaginibacter sp. HYN0043	0.00143625
2066	Kitasatospora setae	0.00143625
1886	Streptomyces albidoflavus	0.00143625
1744	Propionibacterium freudenreichii	0.00143625
1697053	Oblitimonas alkaliphila	0.00143625
169430	Paraburkholderia hospita	0.00143625
161493	Anaeromyxobacter dehalogenans	0.00143625
1275	Kocuria rosea	0.00143625
712633	Streptococcus sp. oral taxon 431	0.00129263
588932	Brevundimonas naejangsanensis	0.00129263
451	Tatlockia micdadei	0.00129263
44251	Paenibacillus durus	0.00129263
298657	Pseudoalteromonas spongiae	0.00129263
28118	Odoribacter splanchnicus	0.00129263
2702	Gardnerella vaginalis	0.00129263
2108470	Plantactinospora sp. BC1	0.00129263
2098	Mycoplasma hominis	0.00129263
204038	Dickeya dadantii	0.00129263
2027290	Providencia sp. WCHPr000369	0.00129263
1685	Bifidobacterium breve	0.00129263
1681	Bifidobacterium bifidum	0.00129263
157782	Pseudomonas parafulva	0.00129263
1571	Sporosarcina ureae	0.00129263
155892	Caulobacter vibrioides	0.00129263
1517	Thermoanaerobacterium thermosaccharolyticum	0.00129263
146919	Salinibacter ruber	0.00129263
1355477	Bradyrhizobium diazoefficiens	0.00129263
126385	Providencia alcalifaciens	0.00129263
1079	Blastochloris viridis	0.00129263
107401	Tenacibaculum maritimum	0.00129263
1049581	Bacillus cellulasensis	0.00129263
999	Bernardetia litoralis	0.001149
93218	Pandoraea apista	0.001149
84023	Clostridium autoethanogenum	0.001149
83655	Leclercia adecarboxylata	0.001149
693444	Enterobacteriaceae bacterium strain FGI 57	0.001149
53336	Tatumella citrea	0.001149
47877	Pseudomonas amygdali	0.001149
454	Legionella israelensis	0.001149
452	Legionella spiritensis	0.001149
399	Neorhizobium galegae	0.001149
379067	Streptomyces bingchenggensis	0.001149
35790	Rickettsia japonica	0.001149
353	Azotobacter chroococcum	0.001149
29461	Brucella suis	0.001149
28116	Bacteroides ovatus	0.001149
28077	Nitrospirillum amazonense	0.001149
260714	Campylobacter insulaenigrae	0.001149
253239	Ethanoligenens harbinense	0.001149
2282310	Leclercia sp. W6	0.001149
223967	Methylorubrum populi	0.001149
2218628	Photorhabdus laumondii	0.001149
2183896	Flavobacterium crocinum	0.001149
218208	Desulfatibacillum aliphaticivorans	0.001149
2071627	Plantactinospora sp. BB1	0.001149
2033438	Serratia sp. MYb239	0.001149
1851167	Streptomyces sp. 11-1-2	0.001149
1692238	Enterobacter sp. FY-07	0.001149
1661	Trueperella pyogenes	0.001149
1639	Listeria monocytogenes	0.001149
1482	Virgibacillus halodenitrificans	0.001149
964	Herbaspirillum seropedicae	0.00100538
82985	Pragia fontium	0.00100538
67258	Streptomyces cavourensis	0.00100538
573	Klebsiella pneumoniae	0.00100538
56459	Xanthomonas vasicola	0.00100538
552	Erwinia amylovora	0.00100538
53413	Xanthomonas axonopodis	0.00100538
492670	Bacillus velezensis	0.00100538
419257	Yersinia massiliensis	0.00100538
357276	Bacteroides dorei	0.00100538
346	Xanthomonas citri	0.00100538
314281	Pseudoalteromonas tunicata	0.00100538
279113	Collimonas pratensis	0.00100538
2498113	Pragia sp. CF-458	0.00100538
2268026	Runella sp. SP2	0.00100538
222805	Mycobacterium chimaera	0.00100538
1830	Rhodococcus ruber	0.00100538
1772	Mycolicibacterium smegmatis	0.00100538
176102	Pseudoalteromonas agarivorans	0.00100538
1719	Corynebacterium pseudotuberculosis	0.00100538
1718	Corynebacterium glutamicum	0.00100538
168471	Laribacter hongkongensis	0.00100538
1636606	Aeromonas sp. ASNIH1	0.00100538
1563222	Citrobacter pasteurii	0.00100538
1504	Clostridium septicum	0.00100538
1349	Streptococcus uberis	0.00100538
1295	Staphylococcus schleiferi	0.00100538
1176587	Niabella ginsenosidivorans	0.00100538
1155739	Moorea producens	0.00100538
104623	Serratia sp. ATCC 39006	0.00100538
91844	Candidatus Portiera aleyrodidarum	0.000861751
83406	gamma proteobacterium HdN1	0.000861751
821	Bacteroides vulgatus	0.000861751
70255	Staphylococcus condimenti	0.000861751
696485	Vibrio owensii	0.000861751
676	Vibrio fluvialis	0.000861751
674	Vibrio mimicus	0.000861751
63612	Sodalis glossinidius	0.000861751
519	Bordetella parapertussis	0.000861751
48664	Xanthomonas fragariae	0.000861751
435897	Lysobacter capsici	0.000861751
413503	Cronobacter malonaticus	0.000861751
38323	Bartonella henselae	0.000861751
375	Bradyrhizobium japonicum	0.000861751
35814	Bordetella holmesii	0.000861751
332055	Sphingobium indicum	0.000861751
28223	Desulfobacula toluolica	0.000861751
2420306	Serratia sp. FDAARGOS_506	0.000861751
2315862	Pseudoflavitalea sp. 5GH32-13	0.000861751
2259595	Runella sp. HYN0085	0.000861751
1809	Mycobacterium ulcerans	0.000861751
180282	Delftia tsuruhatensis	0.000861751
1791	Mycolicibacterium aurum	0.000861751
1685010	Chryseobacterium glaciei	0.000861751
1633874	Acetobacter oryzifermentans	0.000861751
1484158	Pantoea sp. PSNIH1	0.000861751
1420917	Marinobacter salarius	0.000861751
13373	Burkholderia mallei	0.000861751
1292	Staphylococcus warneri	0.000861751
128780	Stenotrophomonas acidaminiphila	0.000861751
907	Megasphaera elsdenii	0.000718126
86660	Mycoplasma dispar	0.000718126
80866	Delftia acidovorans	0.000718126
79329	Chitinophaga pinensis	0.000718126
741091	Rahnella sp. Y9602	0.000718126
703	Plesiomonas shigelloides	0.000718126
61648	Kluyvera intermedia	0.000718126
539	Eikenella corrodens	0.000718126
536	Chromobacterium violaceum	0.000718126
477680	Filimonas lacunae	0.000718126
43657	Pseudoalteromonas luteoviolacea	0.000718126
43	Cystobacter fuscus	0.000718126
395961	Cyanothece sp. PCC 7425	0.000718126
373994	Rivularia sp. PCC 7116	0.000718126
35755	Corynebacterium kutscheri	0.000718126
32046	Synechococcus elongatus	0.000718126
29575	Taylorella equigenitalis	0.000718126
288	Pseudoalteromonas atlantica	0.000718126
2487065	Chryseobacterium sp. G0201	0.000718126
2153484	Arthrospira sp. TJSD092	0.000718126
2109	Mycoplasma synoviae	0.000718126
2059884	Streptomyces sp. CMB-StM0423	0.000718126
2042057	Pectobacterium polaris	0.000718126
204039	Dickeya dianthicola	0.000718126
